cmdlet;filename;depth
Get-OrganizationConfig;GetOrganizationConfig;3
Get-OnPremisesOrganization;GetOnPremisesOrganization;3
Get-AcceptedDomain;GetAcceptedDomain;3
Get-MigrationEndpoint;GetMigrationEndpoint;3
Get-OrganizationRelationship;GetOrganizationRelationship;3
Get-FederationTrust;GetFederationTrust;3
Get-OutboundConnector;GetOutboundConnector;3
Get-InboundConnector;GetInboundConnector;3
Get-IntraOrganizationConfiguration;GetIntraOrganizationConfiguration;3
Get-IntraOrganizationConnector;GetIntraOrganizationConnector;3
